,"Отношение числа людей с инвалидностью в возрасте 18_30 ко всему населению в регионе на 2022 г., в %","Отношение числа людей с инвалидностью в возрасте 51_60 ко всему населению в регионе на 2022 г., в %","Отношение числа людей с инвалидностью в возрасте 60_ ко всему населению в регионе на 2022 г., в %"
Республика Бурятия,0.431496,1.201064,4.106535
Липецкая область,0.323791,1.5658,6.287892
Ханты-Мансийский автономный округ - Югра,0.235396,0.598094,1.520702
Орловская область,0.328528,1.211185,5.006764
Забайкальский край,0.411129,1.034532,4.086186
Курская область,0.427932,2.072843,5.975448
Челябинская область,0.315977,0.889017,3.814713
Республика Мордовия,0.284037,1.40293,5.327292
Воронежская область,0.285573,1.514374,5.87421
Тамбовская область,0.300922,1.734993,6.69542
Новгородская область,0.30727,1.257232,5.921222
Белгородская область,0.317772,1.754338,8.271597
Еврейская автономная область,0.412141,1.061555,4.491292
Амурская область,0.426523,1.124753,4.675059
Вологодская область,0.259851,1.129795,5.133484
Республика Тыва,0.571241,1.510182,2.09405
Москва,0.24026,0.976307,5.261523
Калужская область,0.290173,1.125642,4.683347
Красноярский край,0.354454,1.031002,3.535241
Томская область,0.389589,1.043523,3.286518
Пензенская область,0.244965,1.145863,4.685957
Севастополь,0.158795,0.610853,2.506048
Республика Марий Эл,0.370092,1.293907,5.627778
Ставропольский край,0.339651,1.39702,4.239689
Республика Алтай,0.397637,1.351333,5.493796
Республика Коми,0.345872,1.190949,4.287615
Брянская область,0.286797,1.431161,5.492094
Костромская область,0.296242,1.321411,5.685626
Ненецкий автономный округ,0.287382,0.956444,3.742703
Московская область,0.208396,0.78297,3.255901
Кемеровская область,0.348735,1.21101,4.831446
Краснодарский край,0.333001,1.186909,4.51811
Псковская область,0.33227,1.136045,4.42826
Республика Удмуртия,0.298088,1.026434,4.092397
Сахалинская область,0.292868,0.649143,2.318367
Пермский край,0.30475,0.977413,4.808061
Республика Чечня,1.846165,2.431701,2.032726
Чукотский автономный округ,0.355715,0.73741,1.185052
Саратовская область,0.246214,0.959864,3.212042
Ямало-Ненецкий автономный округ,0.242521,0.531047,1.152473
Волгоградская область,0.255043,1.09373,4.027462
Ростовская область,0.328329,1.627031,4.385638
Республика Карачаево-Черкессия,0.801777,2.60222,4.842973
Республика Дагестан,1.135055,2.467962,2.925687
Смоленская область,0.284111,1.240636,4.652714
Приморский край,0.263283,0.839984,3.199444
Республика Кабардино-Балкария,0.423671,1.475266,3.041171
Магаданская область,0.248245,0.621339,1.718118
Новосибирская область,0.283531,0.98353,3.894015
Ивановская область,0.265734,1.091494,4.940333
Астраханская область,0.271469,0.756698,2.302639
Иркутская область,0.524196,1.310405,4.698206
Республика Саха - Якутия,0.420415,1.034457,2.47935
Тверская область,0.29467,1.145677,4.672774
Ульяновская область,0.33348,1.439904,5.465257
Кировская область,0.263043,1.115988,6.520595
Алтайский край,0.322197,0.968001,4.565116
Республика Калмыкия,0.619594,1.567098,3.955467
Республика Чувашия,0.292967,1.016831,3.753831
Рязанская область,0.330368,1.599868,7.693116
Камчатский край,0.253594,0.664526,2.239178
Республика Ингушетия,1.471974,3.142209,3.099275
Республика Хакасия,0.283909,0.755009,2.731774
Самарская область,0.264104,1.077331,3.861137
Владимирская область,0.27983,1.247376,5.846899
Ярославская область,0.219899,0.991052,5.144604
Свердловская область,0.306144,0.893268,3.666664
Омская область,0.310713,1.011892,3.757712
Республка Карелия,0.327493,1.134037,6.428639
Курганская область,0.351703,1.288376,5.425755
Хабаровский край,0.271521,0.717872,2.785575
Республика Крым,0.254905,1.335641,3.470167
Калининградская область,0.258349,0.909526,4.039689
Республика Башкортостан,0.277334,0.935633,3.643696
Ленинградская область,0.178386,0.852957,4.42214
Республика Северная Осетия-Алания,0.303143,1.464707,4.643494
Оренбургская область,0.348544,1.299142,6.098324
Нижегородская область,0.298417,1.114859,5.851945
Тульская область,0.326755,1.586031,6.097573
Мурманская область,0.216854,0.582095,2.100208
Республика Адыгея,0.304693,1.29991,3.805355
Санкт-Петербург,0.248535,0.956262,7.471739
Республика Татарстан,0.313504,1.202683,4.282529
Архангельская область,0.278281,1.002728,5.019434
Тюменская область,0.298232,0.817255,3.504563
