,"ВРП на душу населения в 2020 году, руб."
Белгородская область,646569.0
Брянская область,347204.5
Владимирская область,410443.6
Воронежская область,459629.5
Ивановская область,273821.5
Калужская область,558174.6
Костромская область,323951.6
Курская область,487030.7
Липецкая область,546151.3
Московская область,683845.1
Орловская область,390170.2
Рязанская область,412845.1
Смоленская область,386274.8
Тамбовская область,378455.8
Тверская область,391722.2
Тульская область,486544.2
Ярославская область,495102.2
Москва,1567644.8
Республка Карелия,522245.3
Республика Коми,749219.3
Ненецкий автономный округ,5206287.1
Вологодская область,544379.2
Калининградская область,530036.9
Ленинградская область,661328.6
Мурманская область,1072337.1
Новгородская область,471333.3
Псковская область,325659.6
Санкт-Петербург,971158.0
Республика Адыгея,309184.1
Республика Калмыкия,344933.1
Республика Крым,270363.8
Краснодарский край,460720.2
Астраханская область,526950.9
Волгоградская область,394256.5
Ростовская область,403949.1
Севастополь,295304.9
Республика Дагестан,239640.7
Республика Ингушетия,142199.7
Республика Кабардино-Балкария,210674.1
Республика Карачаево-Черкессия,207471.5
Республика Северная Осетия-Алания,267814.4
Республика Чечня,171029.5
Ставропольский край,308476.2
Республика Башкортостан,425161.0
Республика Марий Эл,290803.3
Республика Мордовия,342811.2
Республика Татарстан,675621.4
Республика Удмуртия,451490.9
Республика Чувашия,287210.3
Пермский край,541930.2
Кировская область,315153.9
Нижегородская область,497418.6
Оренбургская область,538971.9
Пензенская область,379820.4
Самарская область,505093.4
Саратовская область,358480.4
Ульяновская область,360112.2
Курганская область,294464.0
Свердловская область,588270.0
Ханты-Мансийский автономный округ - Югра,1994630.3
Ямало-Ненецкий автономный округ,5072483.6
Челябинская область,467537.3
Республика Алтай,283451.4
Республика Тыва,251799.9
Республика Хакасия,500422.8
Алтайский край,291156.9
Красноярский край,951613.7
Иркутская область,631591.9
Кемеровская область,392374.9
Новосибирская область,485981.4
Омская область,398641.0
Томская область,518179.5
Республика Бурятия,307558.8
Забайкальский край,402594.6
Республика Саха - Якутия,1168152.5
Камчатский край,942802.0
Приморский край,582950.7
Хабаровский край,658239.5
Амурская область,571362.1
Магаданская область,2035007.0
Сахалинская область,2059206.5
Еврейская автономная область,400340.5
Чукотский автономный округ,2404271.2
Архангельская область,514200.4
Тюменская область,757076.0
