,"Среднедушевые денежные доходы (в месяц) в 2020 году, руб."
Белгородская область,32841.0
Брянская область,28596.0
Владимирская область,25922.0
Воронежская область,32078.0
Ивановская область,26277.0
Калужская область,32442.0
Костромская область,25780.0
Курская область,29786.0
Липецкая область,32226.0
Московская область,47046.0
Орловская область,26843.0
Рязанская область,27312.0
Смоленская область,28152.0
Тамбовская область,27889.0
Тверская область,27681.0
Тульская область,29385.0
Ярославская область,29514.0
Москва,77283.0
Республка Карелия,32583.0
Республика Коми,36677.0
Ненецкий автономный округ,84147.0
Вологодская область,29522.0
Калининградская область,29518.0
Ленинградская область,33149.0
Мурманская область,46355.0
Новгородская область,26268.0
Псковская область,26436.0
Санкт-Петербург,49207.0
Республика Адыгея,30293.0
Республика Калмыкия,19811.0
Республика Крым,22950.0
Краснодарский край,36838.0
Астраханская область,25199.0
Волгоградская область,24864.0
Ростовская область,31427.0
Севастополь,29957.0
Республика Дагестан,27661.0
Республика Ингушетия,16877.0
Республика Кабардино-Балкария,21957.0
Республика Карачаево-Черкессия,18949.0
Республика Северная Осетия-Алания,23927.0
Республика Чечня,24596.0
Ставропольский край,23911.0
Республика Башкортостан,30249.0
Республика Марий Эл,21264.0
Республика Мордовия,20631.0
Республика Татарстан,35635.0
Республика Удмуртия,25449.0
Республика Чувашия,21155.0
Пермский край,30215.0
Кировская область,24192.0
Нижегородская область,33645.0
Оренбургская область,24719.0
Пензенская область,24118.0
Самарская область,29893.0
Саратовская область,24046.0
Ульяновская область,24590.0
Курганская область,21860.0
Свердловская область,37374.0
Ханты-Мансийский автономный округ - Югра,54443.0
Ямало-Ненецкий автономный округ,89928.0
Челябинская область,26628.0
Республика Алтай,21677.0
Республика Тыва,18972.0
Республика Хакасия,23837.0
Алтайский край,23864.0
Красноярский край,32832.0
Иркутская область,27571.0
Кемеровская область,25433.0
Новосибирская область,31563.0
Омская область,27354.0
Томская область,28857.0
Республика Бурятия,26092.0
Республика Саха - Якутия,46338.0
Забайкальский край,27046.0
Камчатский край,55373.0
Приморский край,37304.0
Хабаровский край,41740.0
Амурская область,35499.0
Магаданская область,70864.0
Сахалинская область,60770.0
Еврейская автономная область,28048.0
Чукотский автономный округ,89541.0
Архангельская область,34852.0
Тюменская область,31151.0
