,"Динамика среднедушевых денежных доходов на 2016 г., в %","Динамика среднедушевых денежных доходов на 2017 г., в %","Динамика среднедушевых денежных доходов на 2018 г., в %","Динамика среднедушевых денежных доходов на 2019 г., в %","Динамика среднедушевых денежных доходов на 2020 г., в %"
Белгородская область,6.261812,1.822209,1.436952,5.114042,1.511499
Брянская область,2.467133,4.586353,5.886804,6.718074,0.793063
Владимирская область,-1.527827,5.316342,-0.063683,7.727601,2.22415
Воронежская область,-0.279234,0.730774,2.681538,5.721549,0.17488
Ивановская область,6.184689,5.000845,-1.436042,5.268743,1.872528
Калужская область,4.979223,-0.295139,1.441755,7.775756,3.338217
Костромская область,5.629245,3.965651,-1.56477,6.615787,1.957682
Курская область,0.098697,2.985604,4.453891,6.870761,2.185324
Липецкая область,3.126961,3.658624,3.640006,8.227258,-0.778965
Московская область,7.313522,2.589883,5.57799,5.578545,-0.328383
Орловская область,4.080709,4.229331,3.820009,4.695722,2.988797
Рязанская область,0.46011,1.987478,4.816249,5.679808,1.584468
Смоленская область,-0.164884,4.878462,4.530405,5.79419,2.789543
Тамбовская область,3.635632,1.121503,2.954947,4.942597,-0.941252
Тверская область,1.65174,1.20517,3.170041,8.302488,1.727243
Тульская область,5.322074,1.532724,-0.066113,4.958101,2.899464
Ярославская область,0.582422,1.613867,-0.533088,5.924968,2.98695
Москва,2.426695,5.591575,5.990439,8.201115,2.92872
Республка Карелия,1.500445,4.67101,6.104175,5.845626,5.603811
Республика Коми,1.614298,1.843972,5.45961,3.762399,3.736282
Ненецкий автономный округ,-1.103318,2.330764,7.582211,3.172542,3.832628
Вологодская область,6.446321,-2.563717,4.097222,5.010748,4.192843
Калининградская область,0.599765,3.117328,3.771303,5.429518,1.95496
Ленинградская область,11.679261,4.010658,5.639072,3.079034,2.609422
Мурманская область,1.665442,5.123263,5.833524,6.431046,4.787847
Новгородская область,-1.349928,1.866719,-1.805334,2.811166,1.019113
Псковская область,2.360156,5.687182,2.555293,6.884422,3.573108
Санкт-Петербург,6.479107,6.235415,6.285134,4.822329,4.320634
Республика Адыгея,8.915234,5.569953,4.059974,5.669074,4.046024
Республика Калмыкия,2.749411,3.599643,5.04889,8.347969,7.040199
Республика Крым,13.795965,11.180926,8.608336,3.90262,2.620283
Краснодарский край,4.961027,1.661746,2.900937,3.785058,3.265775
Астраханская область,-4.158275,0.188258,3.434714,5.496409,0.913059
Волгоградская область,-3.094603,2.885289,3.52135,5.895761,2.922427
Ростовская область,3.21394,4.074282,4.880862,5.695137,2.194979
Севастополь,47.625745,7.20683,2.502666,4.949019,-1.004593
Республика Дагестан,-4.091317,3.17114,-2.748933,6.418171,0.923088
Республика Ингушетия,3.607399,0.393926,2.290994,2.790324,1.583002
Республика Кабардино-Балкария,4.168423,3.399605,1.790694,3.215573,2.249232
Республика Карачаево-Черкессия,-0.96575,1.666856,0.663618,4.265692,0.680091
Республика Северная Осетия-Алания,1.907907,2.169217,2.709012,5.052108,-2.318841
Республика Чечня,0.660531,-1.640492,3.171144,4.056559,1.897423
Ставропольский край,-1.219168,7.147963,4.104959,4.092618,-1.867356
Республика Башкортостан,1.93631,2.222701,1.752845,5.523527,-1.040338
Республика Марий Эл,1.665768,2.502784,2.436501,5.363095,1.917178
Республика Мордовия,1.38731,2.37214,2.169269,5.881722,4.471339
Республика Татарстан,1.107888,-0.998077,3.97398,5.876946,-0.201641
Республика Удмуртия,-2.613894,1.583337,-0.700146,5.199983,1.527966
Республика Чувашия,-2.728626,1.734104,2.840909,9.208103,4.925107
Пермский край,-12.203379,2.129806,1.298518,6.548697,-1.219432
Кировская область,-1.150012,2.242342,2.07387,6.099699,2.491103
Нижегородская область,0.179982,0.894966,3.567896,7.67002,-0.50862
Оренбургская область,-3.478185,3.454504,2.07333,4.695318,0.963934
Пензенская область,-3.845616,3.567966,2.059539,5.343056,5.002395
Самарская область,-3.43197,0.511945,4.008268,4.403833,1.604296
Саратовская область,-1.526528,2.221773,5.823948,6.226952,5.664191
Ульяновская область,-0.413896,2.949109,-2.091565,3.952274,3.764031
Курганская область,-0.664697,2.403965,-1.577928,4.770335,2.609839
Свердловская область,1.773517,1.417132,4.331156,6.421669,-4.399652
Ханты-Мансийский автономный округ - Югра,1.542589,4.048238,3.85592,4.911568,2.32108
Ямало-Ненецкий автономный округ,7.000473,5.070621,4.433951,4.647472,8.232236
Челябинская область,-4.043969,0.262079,2.812092,4.260641,4.731563
Республика Алтай,0.341316,3.630179,4.945114,3.860944,7.015205
Республика Тыва,-3.910866,0.320791,3.983745,6.464219,14.165363
Республика Хакасия,2.662691,3.189809,6.518197,5.182884,5.059721
Алтайский край,1.89837,4.154121,3.116672,4.853476,-0.304967
Красноярский край,3.075444,3.349471,4.15004,5.743795,3.443713
Иркутская область,3.47998,4.429143,3.943506,7.661455,4.808789
Кемеровская область,-2.440697,3.729211,4.629421,7.424674,2.198023
Новосибирская область,4.86277,3.416346,4.166366,5.916401,3.285448
Омская область,-2.254479,-0.024279,2.930344,6.039873,1.435087
Томская область,-2.467663,2.033251,2.243698,3.974941,1.677178
Республика Бурятия,-0.565848,0.577499,0.926236,4.929197,3.261042
Республика Саха - Якутия,4.998244,4.351182,5.644326,6.103681,1.935853
Забайкальский край,0.299809,2.871377,5.626486,7.327442,5.03301
Камчатский край,2.407866,3.354695,7.586055,8.031503,5.12397
Приморский край,0.621138,3.211259,7.282531,6.539761,1.141447
Хабаровский край,3.116187,1.457678,5.353388,6.076655,0.677778
Амурская область,-0.934844,4.421647,5.901482,7.651033,6.5908
Магаданская область,1.215764,6.778671,8.979197,9.340181,8.426029
Сахалинская область,3.33389,2.09024,6.496772,9.727981,2.97382
Еврейская автономная область,-2.904163,2.644241,4.294945,7.717849,5.435682
Чукотский автономный округ,6.946989,7.847163,7.933552,5.802416,7.382623
Архангельская область,0.407188,2.915843,4.386622,5.677919,2.88717
Тюменская область,-1.471874,2.322142,5.384504,5.14368,1.594808
