,Реальные денежные доходы в 2016 году в % к предыдущему году,Реальные денежные доходы в 2017 году в % к предыдущему году,Реальные денежные доходы в 2018 году в % к предыдущему году,Реальные денежные доходы в 2019 году в % к предыдущему году,Реальные денежные доходы в 2020 году в % к предыдущему году
Белгородская область,100.8,99.1,98.7,100.6,98.1
Брянская область,95.0,99.4,102.1,100.5,96.3
Владимирская область,92.2,100.9,96.4,101.9,98.0
Воронежская область,93.6,97.4,100.0,101.1,95.4
Ивановская область,98.5,100.4,94.4,99.5,97.2
Калужская область,97.7,95.2,98.0,102.8,99.2
Костромская область,98.1,99.8,94.7,100.9,97.3
Курская область,93.2,99.1,100.1,100.9,97.8
Липецкая область,96.8,100.1,100.1,102.6,94.9
Московская область,99.7,100.0,102.6,102.1,97.8
Орловская область,96.0,99.7,100.5,99.1,98.6
Рязанская область,94.2,97.3,100.3,99.9,97.2
Смоленская область,93.1,100.9,101.0,100.4,98.3
Тамбовская область,95.8,97.0,98.8,98.1,94.3
Тверская область,94.4,97.5,99.8,103.2,97.4
Тульская область,97.9,97.7,95.9,99.9,98.2
Ярославская область,93.0,98.0,96.2,99.5,98.2
Москва,95.7,101.5,103.3,104.2,100.2
Республка Карелия,94.9,100.7,102.3,100.8,100.8
Республика Коми,94.7,97.5,101.1,97.1,98.0
Ненецкий автономный округ,90.8,100.9,105.9,99.8,101.1
Вологодская область,99.2,94.2,100.6,100.4,99.6
Калининградская область,94.6,100.7,101.8,101.4,99.2
Ленинградская область,104.3,101.0,104.4,100.7,100.8
Мурманская область,94.2,100.2,102.0,100.8,100.4
Новгородская область,91.8,97.6,94.2,97.7,96.8
Псковская область,95.0,101.0,98.6,101.4,99.8
Санкт-Петербург,100.4,103.1,104.2,101.1,101.1
Республика Адыгея,102.2,101.6,102.3,102.7,101.4
Республика Калмыкия,96.0,98.8,101.3,102.6,102.4
Республика Крым,102.1,106.4,105.9,99.0,99.5
Краснодарский край,99.1,98.5,101.1,99.9,100.4
Астраханская область,90.1,97.1,100.6,100.7,97.1
Волгоградская область,90.2,98.8,100.1,101.0,98.7
Ростовская область,96.7,100.6,102.3,100.9,98.6
Севастополь,139.3,104.1,101.4,101.2,102.9
Республика Дагестан,91.1,100.9,96.9,102.5,97.2
Республика Ингушетия,100.0,99.3,100.9,101.7,99.7
Республика Кабардино-Балкария,97.3,99.1,99.8,98.5,98.7
Республика Карачаево-Черкессия,92.0,98.0,98.5,99.7,97.3
Республика Северная Осетия-Алания,95.2,98.7,100.1,101.0,94.6
Республика Чечня,95.0,96.4,102.3,101.6,100.1
Ставропольский край,92.4,102.9,100.7,99.6,94.5
Республика Башкортостан,96.2,99.2,99.3,100.6,95.1
Республика Марий Эл,95.0,98.6,99.2,100.0,98.3
Республика Мордовия,96.3,99.9,99.4,101.3,100.7
Республика Татарстан,96.2,96.6,101.7,101.8,96.7
Республика Удмуртия,93.4,98.5,96.9,101.3,97.9
Республика Чувашия,92.0,99.1,100.0,104.1,101.4
Пермский край,81.6,99.2,98.8,101.9,95.1
Кировская область,92.8,98.9,98.6,101.2,97.8
Нижегородская область,94.2,96.4,99.4,102.5,95.2
Оренбургская область,92.0,99.9,99.0,99.9,97.7
Пензенская область,90.6,100.4,98.7,100.1,100.4
Самарская область,90.4,97.3,100.8,99.7,97.4
Саратовская область,93.1,99.1,102.6,100.9,100.4
Ульяновская область,93.5,98.7,94.6,98.6,99.2
Курганская область,91.8,97.8,94.5,99.1,97.8
Свердловская область,94.7,97.8,101.7,101.4,92.5
Ханты-Мансийский автономный округ - Югра,94.5,99.6,102.2,102.6,100.4
Ямало-Ненецкий автономный округ,99.8,102.5,102.0,103.5,106.8
Челябинская область,89.9,97.3,99.7,100.1,100.8
Республика Алтай,95.7,101.9,103.0,101.9,104.5
Республика Тыва,91.3,98.2,101.7,103.4,110.9
Республика Хакасия,97.2,100.4,103.0,99.5,100.8
Алтайский край,94.7,100.0,99.7,99.6,95.5
Красноярский край,97.7,100.6,101.4,100.6,99.8
Иркутская область,95.1,100.5,100.3,101.7,100.4
Кемеровская область,91.0,100.8,100.8,101.1,98.1
Новосибирская область,99.3,101.0,102.8,101.7,99.8
Омская область,92.1,96.9,100.1,100.2,97.3
Томская область,91.4,98.4,99.2,98.9,97.7
Республика Бурятия,94.0,97.9,97.8,99.3,98.8
Республика Саха - Якутия,97.7,99.5,102.9,102.2,99.5
Забайкальский край,93.3,98.9,102.1,101.9,99.9
Камчатский край,94.6,99.6,105.1,103.9,102.1
Приморский край,94.3,99.8,103.8,101.9,96.9
Хабаровский край,95.5,97.8,101.5,100.7,96.2
Амурская область,92.1,101.1,102.4,101.7,100.3
Магаданская область,93.9,102.3,104.4,103.1,104.3
Сахалинская область,97.5,99.0,104.7,105.6,98.6
Еврейская автономная область,89.2,97.2,99.6,101.2,99.2
Чукотский автономный округ,97.4,103.6,104.3,101.5,105.2
Архангельская область,93.0,98.7,101.7,100.2,98.4
Тюменская область,93.2,99.9,104.5,102.7,99.2
