,"Реальная начисленная заработная плата в 2016 году в % к предыдущему году, руб.","Реальная начисленная заработная плата в 2017 году в % к предыдущему году, руб.","Реальная начисленная заработная плата в 2018 году в % к предыдущему году, руб.","Реальная начисленная заработная плата в 2019 году в % к предыдущему году, руб.","Реальная начисленная заработная плата в 2020 году в % к предыдущему году, руб."
Белгородская область,100.8,104.5,106.8,104.0,104.8
Брянская область,98.5,103.2,107.0,104.0,102.9
Владимирская область,99.2,103.6,109.9,103.5,103.0
Воронежская область,99.1,102.8,108.7,103.4,103.2
Ивановская область,97.6,102.1,106.0,102.1,101.6
Калужская область,98.3,103.4,107.8,103.9,102.4
Костромская область,98.5,103.1,109.6,108.1,98.6
Курская область,98.4,103.8,106.0,103.8,105.3
Липецкая область,100.4,105.1,107.8,103.3,103.3
Московская область,96.3,105.7,106.5,102.2,101.8
Орловская область,98.6,103.5,108.2,103.2,103.7
Рязанская область,100.7,101.2,106.5,102.7,101.8
Смоленская область,100.4,101.1,108.7,101.8,102.5
Тамбовская область,97.9,102.9,106.7,101.9,104.1
Тверская область,98.8,102.4,109.8,103.9,103.9
Тульская область,99.7,104.1,106.0,105.7,103.3
Ярославская область,98.7,104.0,106.0,101.6,100.9
Москва,103.0,98.7,109.6,107.6,103.1
Республка Карелия,101.1,100.8,111.1,104.5,104.1
Республика Коми,99.2,101.1,107.0,100.4,102.1
Ненецкий автономный округ,92.0,101.6,110.0,102.7,101.4
Вологодская область,99.8,104.9,109.1,106.0,105.4
Калининградская область,97.1,100.4,106.3,101.7,99.2
Ленинградская область,99.3,104.2,107.9,102.2,101.1
Мурманская область,99.2,101.7,108.4,104.8,105.1
Новгородская область,99.0,101.4,104.0,98.0,102.4
Псковская область,97.1,101.7,110.2,104.9,103.9
Санкт-Петербург,103.0,105.7,109.1,104.7,101.0
Республика Адыгея,97.7,101.7,110.2,105.7,102.9
Республика Калмыкия,99.5,103.2,110.6,104.9,107.6
Республика Крым,96.2,103.6,110.5,105.3,101.5
Краснодарский край,100.3,101.5,108.8,102.2,103.2
Астраханская область,101.4,104.5,110.7,103.0,104.5
Волгоградская область,101.9,101.6,107.4,103.6,104.2
Ростовская область,100.1,103.4,108.0,102.7,102.1
Севастополь,101.1,108.1,111.8,103.5,101.3
Республика Дагестан,101.0,103.3,113.4,102.0,111.6
Республика Ингушетия,99.3,98.5,108.1,104.9,104.3
Республика Кабардино-Балкария,96.2,101.2,110.8,101.6,105.0
Республика Карачаево-Черкессия,97.7,101.5,110.0,101.4,107.0
Республика Северная Осетия-Алания,100.2,104.9,106.7,102.9,103.0
Республика Чечня,95.5,97.8,110.0,102.0,104.0
Ставропольский край,99.1,103.8,105.7,104.7,102.5
Республика Башкортостан,102.3,105.0,108.7,103.3,102.5
Республика Марий Эл,99.4,105.3,107.4,101.9,103.8
Республика Мордовия,100.1,102.3,107.8,104.2,105.1
Республика Татарстан,98.3,104.0,106.2,102.2,103.1
Республика Удмуртия,103.7,105.5,107.4,103.5,103.4
Республика Чувашия,101.5,104.5,107.7,105.1,104.3
Пермский край,99.9,104.6,106.5,105.2,103.7
Кировская область,99.7,104.8,107.9,104.1,104.1
Нижегородская область,101.2,102.6,104.6,102.4,102.8
Оренбургская область,102.0,101.5,108.1,103.9,103.8
Пензенская область,103.4,101.1,107.7,101.9,102.9
Самарская область,98.8,104.6,107.7,103.3,102.6
Саратовская область,99.1,102.4,106.0,109.7,104.7
Ульяновская область,100.4,103.9,105.0,103.3,102.2
Курганская область,98.7,105.1,107.5,104.1,104.3
Свердловская область,98.0,103.7,106.9,103.1,102.1
Ханты-Мансийский автономный округ - Югра,97.4,99.7,104.0,103.0,103.5
Ямало-Ненецкий автономный округ,100.8,104.9,105.0,102.2,108.0
Челябинская область,97.8,101.2,106.4,102.4,101.7
Республика Алтай,103.6,102.5,114.9,105.4,105.5
Республика Тыва,99.3,101.6,111.0,106.8,107.0
Республика Хакасия,102.7,101.6,107.9,101.6,104.0
Алтайский край,98.4,103.6,109.3,104.9,103.8
Красноярский край,100.8,103.9,108.2,104.2,105.5
Иркутская область,99.8,103.5,108.4,103.0,103.5
Кемеровская область,99.7,105.8,113.0,104.2,100.6
Новосибирская область,101.2,104.1,108.8,105.0,102.9
Омская область,97.6,102.9,107.4,103.4,103.7
Томская область,98.9,100.4,108.5,103.4,103.2
Республика Бурятия,99.5,104.7,108.4,102.6,102.2
Республика Саха - Якутия,100.2,100.3,107.5,102.3,101.8
Забайкальский край,98.6,103.0,113.7,102.9,102.9
Камчатский край,98.7,103.8,109.7,105.1,103.8
Приморский край,99.1,103.4,107.9,106.7,103.1
Хабаровский край,97.8,102.3,107.5,101.6,101.9
Амурская область,96.0,107.4,110.1,106.0,105.2
Магаданская область,98.9,104.7,110.0,105.9,105.0
Сахалинская область,100.0,101.9,111.0,108.8,101.7
Еврейская автономная область,96.8,102.6,110.4,102.6,103.7
Чукотский автономный округ,99.9,102.8,104.0,102.9,110.5
Архангельская область,100.0,102.5,110.7,104.0,102.9
Тюменская область,97.3,103.6,108.6,104.3,102.5
