,"Оборот розничной торговли на душу населения в 2014 году, руб.","Оборот розничной торговли на душу населения в 2021 году, руб."
Белгородская область,164079.0,259151.0
Брянская область,158501.0,257679.0
Владимирская область,129564.0,207670.0
Воронежская область,181499.0,296665.0
Ивановская область,138185.0,211546.0
Калужская область,161623.0,235693.0
Костромская область,114959.0,217379.0
Курская область,146850.0,238933.0
Липецкая область,171096.0,272834.0
Московская область,220314.0,422211.0
Орловская область,131430.0,223131.0
Рязанская область,140026.0,225488.0
Смоленская область,150008.0,211221.0
Тамбовская область,157556.0,222950.0
Тверская область,153135.0,233777.0
Тульская область,152864.0,240438.0
Ярославская область,149623.0,247711.0
Москва,365089.0,477554.0
Республка Карелия,153651.0,252304.0
Республика Коми,181937.0,221863.0
Ненецкий автономный округ,178374.0,235547.0
Вологодская область,125014.0,208031.0
Калининградская область,136627.0,218937.0
Ленинградская область,156780.0,298432.0
Мурманская область,196946.0,262676.0
Новгородская область,155324.0,232454.0
Псковская область,144799.0,234834.0
Санкт-Петербург,197144.0,357665.0
Республика Адыгея,164975.0,299840.0
Республика Калмыкия,62779.0,97566.0
Республика Крым,79010.0,176044.0
Краснодарский край,196892.0,335663.0
Астраханская область,162393.0,196096.0
Волгоградская область,126856.0,194191.0
Ростовская область,177702.0,277842.0
Севастополь,90459.0,187776.0
Республика Дагестан,171054.0,209177.0
Республика Ингушетия,41805.0,57605.0
Республика Кабардино-Балкария,116477.0,217260.0
Республика Карачаево-Черкессия,78422.0,95066.0
Республика Северная Осетия-Алания,131840.0,193290.0
Республика Чечня,88310.0,141300.0
Ставропольский край,165228.0,215801.0
Республика Башкортостан,191935.0,253472.0
Республика Марий Эл,106277.0,161110.0
Республика Мордовия,89808.0,150613.0
Республика Татарстан,203038.0,279262.0
Республика Удмуртия,129660.0,178357.0
Республика Чувашия,106444.0,166150.0
Пермский край,184849.0,239837.0
Кировская область,126231.0,190042.0
Нижегородская область,190206.0,278659.0
Оренбургская область,134482.0,198494.0
Пензенская область,133259.0,199270.0
Самарская область,194188.0,241042.0
Саратовская область,120725.0,188844.0
Ульяновская область,129143.0,185625.0
Курганская область,117095.0,163801.0
Свердловская область,230949.0,287048.0
Ханты-Мансийский автономный округ - Югра,224038.0,288977.0
Ямало-Ненецкий автономный округ,235512.0,293712.0
Челябинская область,154226.0,199595.0
Республика Алтай,97474.0,164472.0
Республика Тыва,60063.0,89480.0
Республика Хакасия,123176.0,194578.0
Алтайский край,128376.0,174321.0
Красноярский край,171796.0,222969.0
Иркутская область,118287.0,200034.0
Кемеровская область,122765.0,176024.0
Новосибирская область,168581.0,241409.0
Омская область,158990.0,211880.0
Томская область,115052.0,196290.0
Республика Бурятия,141496.0,223010.0
Забайкальский край,124928.0,188623.0
Республика Саха - Якутия,173477.0,284035.0
Камчатский край,143851.0,239715.0
Приморский край,147683.0,272134.0
Хабаровский край,178673.0,301099.0
Амурская область,163781.0,276635.0
Магаданская область,174694.0,289171.0
Сахалинская область,250253.0,364356.0
Еврейская автономная область,117276.0,188492.0
Чукотский автономный округ,102795.0,225671.0
Архангельская область,176420.0,280050.0
Тюменская область,217731.0,298699.0
